"","CensusTract","State","County","Urban","POP2010","OHU2010","GroupQuartersFlag","NUMGQTRS","PCTGQTRS","LILATracts_1And10","LILATracts_halfAnd10","LILATracts_1And20","LILATracts_Vehicle","HUNVFlag","LowIncomeTracts","PovertyRate","MedianFamilyIncome","LA1and10","LAhalfand10","LA1and20","LATracts_half","LATracts1","LATracts10","LATracts20","LATractsVehicle_20","LAPOP1_10","LAPOP05_10","LAPOP1_20","LALOWI1_10","LALOWI05_10","LALOWI1_20","lapophalf","lapophalfshare","lalowihalf","lalowihalfshare","lakidshalf","lakidshalfshare","laseniorshalf","laseniorshalfshare","lawhitehalf","lawhitehalfshare","lablackhalf","lablackhalfshare","laasianhalf","laasianhalfshare","lanhopihalf","lanhopihalfshare","laaianhalf","laaianhalfshare","laomultirhalf","laomultirhalfshare","lahisphalf","lahisphalfshare","lahunvhalf","lahunvhalfshare","lasnaphalf","lasnaphalfshare","lapop1","lapop1share","lalowi1","lalowi1share","lakids1","lakids1share","laseniors1","laseniors1share","lawhite1","lawhite1share","lablack1","lablack1share","laasian1","laasian1share","lanhopi1","lanhopi1share","laaian1","laaian1share","laomultir1","laomultir1share","lahisp1","lahisp1share","lahunv1","lahunv1share","lasnap1","lasnap1share","lapop10","lapop10share","lalowi10","lalowi10share","lakids10","lakids10share","laseniors10","laseniors10share","lawhite10","lawhite10share","lablack10","lablack10share","laasian10","laasian10share","lanhopi10","lanhopi10share","laaian10","laaian10share","laomultir10","laomultir10share","lahisp10","lahisp10share","lahunv10","lahunv10share","lasnap10","lasnap10share","lapop20","lapop20share","lalowi20","lalowi20share","lakids20","lakids20share","laseniors20","laseniors20share","lawhite20","lawhite20share","lablack20","lablack20share","laasian20","laasian20share","lanhopi20","lanhopi20share","laaian20","laaian20share","laomultir20","laomultir20share","lahisp20","lahisp20share","lahunv20","lahunv20share","lasnap20","lasnap20share","TractLOWI","TractKids","TractSeniors","TractWhite","TractBlack","TractAsian","TractNHOPI","TractAIAN","TractOMultir","TractHispanic","TractHUNV","TractSNAP","race_perc_white","race_perc_AA","race_perc_AI_AN","race_perc_Asian","race_perc_NH_PI","race_perc_Other","race_perc_hisp","novehicle_perc","SNAP_perc","GEO.display.label.x","edu_perc_hsbelow","edu_perc_hsplus","GEO.display.label.y","sex_perc_male","sex_perc_female","age_perc_lt5","age_perc_5to9","age_perc_10to14","age_perc_15to19","age_perc_20to24","age_perc_25to34","age_perc_35to44","age_perc_45to54","age_perc_55to59","age_perc_60to64","age_perc_65to74","age_perc_75to84","age_perc_85plus","GEO.display.label.x.1","house_Total","house_total_own","house_total_rent","house_perc_own","house_perc_rent","GEO.display.label.y.1","live_HH_total","live_alone_male_total","live_not_alone_male_total","live_alone_female_total","live_not_alone_female_total","live_perc_male_alone","live_perc_male_notalone","live_perc_female_alone","live_perc_female_notalone"
"1",13001950100,"Georgia","Appling",0,3190,1270,0,34,0.0106583,0,0,0,0,0,0,14.1,57120,1,1,0,0,0,1,0,0,1019.134903,1019.134903,0,341.9601098,341.9601098,0,3189.999994,0.999999998,1192.433906,0.373803732,810.9999975,0.254231974,430.9999988,0.135109718,2975.999989,0.932915357,116,0.036363636,6.999999838,0.002194357,0,0,4.999999852,0.001567398,85.99999914,0.026959247,103.9999999,0.032601881,43.11288852,0.033947156,263.2402694,0.207275803,3189.999994,0.999999998,1192.433906,0.373803732,810.9999975,0.254231974,430.9999988,0.135109718,2975.999989,0.932915357,116,0.036363636,6.999999838,0.002194357,0,0,4.999999852,0.001567398,85.99999914,0.026959247,103.9999999,0.032601881,43.11288852,0.033947156,263.2402694,0.207275803,1019.134903,0.319478026,341.9601098,0.107197527,238.3367569,0.074713717,152.8223248,0.047906685,971.1612144,0.304439252,25.2628062,0.007919375,0.901332952,0.00028255,0,0,1.000000013,0.00031348,20.80954707,0.006523369,28.88211852,0.009053956,24.30413462,0.019137114,86.18385609,0.067861304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1292,811,431,2976,116,7,0,5,86,104,35,245,93.2915360501567,3.63636363636364,0.156739811912226,0.219435736677116,0,2.69592476489028,3.26018808777429,1.09717868338558,7.68025078369906,"Census Tract 9501, Appling County, Georgia",25.6,74.4,"Census Tract 9501, Appling County, Georgia",49.6,50.4,6,5.2,10.3,9.7,4,9.3,14.5,10.9,6.4,7.6,9.3,4.9,1.6,"Census Tract 9501, Appling County, Georgia",3387,2750,637,81.1927959846472,18.8072040153528,"Census Tract 9501, Appling County, Georgia",268,138,14,116,0,51.4925373134328,5.22388059701492,43.2835820895522,0
"2",13001950200,"Georgia","Appling",1,4530,1631,0,269,0.0593819,1,1,1,1,1,1,27.3,38077,1,1,1,1,1,0,0,1,3120.803956,3941.559431,3120.803956,1808.670304,2267.683036,1808.670304,3941.559431,0.87010142,2267.683036,0.500592282,1058.13714,0.233584358,408.4510777,0.090165801,2006.693488,0.442978695,1646.139733,0.363386254,17.99999911,0.00397351,0,0,5.000000067,0.001103753,265.7262257,0.058659211,355.8094422,0.078545131,117.8433658,0.072252217,399.7538471,0.245097392,3120.803956,0.688919196,1808.670304,0.399264968,839.1076284,0.185233472,301.0306305,0.066452678,1820.919761,0.401969042,1030.28741,0.227436514,17.99999911,0.00397351,0,0,5.000000067,0.001103753,246.5967978,0.054436379,333.4554558,0.073610476,87.41357641,0.053595081,305.205269,0.187127694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2518,1237,484,2194,2027,18,0,5,286,400,136,445,48.4326710816777,44.7461368653422,0.11037527593819,0.397350993377483,0,6.31346578366446,8.83002207505519,3.00220750551876,9.8233995584989,"Census Tract 9502, Appling County, Georgia",24.3,75.7,"Census Tract 9502, Appling County, Georgia",50.5,49.5,8.5,9,9.2,5.6,6.5,15.8,8.6,15.4,4.8,6.6,6.5,2.2,1.4,"Census Tract 9502, Appling County, Georgia",4372,2843,1529,65.0274473924977,34.9725526075023,"Census Tract 9502, Appling County, Georgia",389,95,0,263,31,24.4215938303342,0,67.6092544987146,7.96915167095116
"3",13001950300,"Georgia","Appling",1,5176,1969,0,123,0.0237635,1,1,1,1,1,1,24.7,58100,1,1,1,1,1,0,0,1,2947.38451,3996.304196,2947.38451,998.2670637,1430.744218,998.2670637,3996.304196,0.7720835,1430.744218,0.276418898,1032.916647,0.199558858,531.5596893,0.102697003,2875.526516,0.555549945,590.6056707,0.11410465,83.60565127,0.01615256,12.00000055,0.002318393,8.00000006,0.001545595,426.5663519,0.082412355,605.0692529,0.116899006,195.1377806,0.099105018,349.7176567,0.177611811,2947.38451,0.569432865,998.2670637,0.19286458,743.6546187,0.143673613,382.8558223,0.073967508,2114.052737,0.408433682,457.9399802,0.088473721,55.39000642,0.010701315,12.00000055,0.002318393,4.44014012,0.000857832,303.5616436,0.058647922,445.2421756,0.086020513,131.7938695,0.066934418,252.2017813,0.128086227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1839,1351,770,3749,778,85,12,12,540,768,293,472,72.4304482225657,15.0309119010819,0.231839258114374,1.64219474497682,0.231839258114374,10.4327666151468,14.8377125193199,5.66074188562597,9.11901081916538,"Census Tract 9503, Appling County, Georgia",21.2,78.8,"Census Tract 9503, Appling County, Georgia",47.8,52.2,6.7,7.7,2,6.2,5.5,12.9,12.8,14.3,6.9,6.6,12.2,3.6,2.7,"Census Tract 9503, Appling County, Georgia",4736,2492,2244,52.6182432432432,47.3817567567568,"Census Tract 9503, Appling County, Georgia",743,291,24,300,128,39.1655450874832,3.23014804845222,40.3768506056528,17.2274562584118
"4",13001950400,"Georgia","Appling",0,1476,606,0,0,0,1,1,0,0,0,1,20.6,44263,1,1,0,0,0,1,0,0,923.2193065,923.2193065,0,289.3390228,289.3390228,0,1475.999994,0.999999996,584.7951601,0.396202683,323.9999994,0.219512195,267.999999,0.181571815,1137.999994,0.771002706,274.0000012,0.185636857,7.999999788,0.005420054,0,0,9.999999904,0.006775068,45.99999996,0.031165312,37.99999984,0.025745257,35.58993572,0.058729267,75.10696054,0.123938879,1475.999994,0.999999996,584.7951601,0.396202683,323.9999994,0.219512195,267.999999,0.181571815,1137.999994,0.771002706,274.0000012,0.185636857,7.999999788,0.005420054,0,0,9.999999904,0.006775068,45.99999996,0.031165312,37.99999984,0.025745257,35.58993572,0.058729267,75.10696054,0.123938879,923.2193065,0.625487335,289.3390228,0.196029148,197.1075354,0.133541691,163.8289397,0.110995217,828.120933,0.561057543,70.75383784,0.047936204,5.014200207,0.003397155,0,0,0,0,19.33033601,0.013096434,10.18592761,0.006901035,29.17106344,0.048137068,47.07761102,0.077685827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594,324,268,1138,274,8,0,10,46,38,32,73,77.10027100271,18.5636856368564,0.677506775067751,0.5420054200542,0,3.11653116531165,2.57452574525745,2.1680216802168,4.94579945799458,"Census Tract 9504, Appling County, Georgia",22.4,77.6,"Census Tract 9504, Appling County, Georgia",51.2,48.8,2.5,8.6,10.2,6.3,3.2,6.3,13.2,13.4,7.8,7.5,12.4,6.4,2.1,"Census Tract 9504, Appling County, Georgia",1453,1172,281,80.6607019958706,19.3392980041294,"Census Tract 9504, Appling County, Georgia",223,98,12,113,0,43.9461883408072,5.38116591928251,50.6726457399103,0
"5",13001950500,"Georgia","Appling",0,3864,1493,0,0,0,0,0,0,0,0,1,22.5,45478,0,0,0,0,0,0,0,0,480.6299456,480.6299456,0,231.9887771,231.9887771,0,3864.000001,1,2072.965374,0.536481722,971.000001,0.251293996,502.9999994,0.130175983,3327.999998,0.861283643,196.9999958,0.050983436,7.999999948,0.002070393,11.00000042,0.002846791,35.99999956,0.00931677,284.0000023,0.073498965,394.0000014,0.101966874,49.48822079,0.033146832,363.7973989,0.24366872,3864.000001,1,2072.965374,0.536481722,971.000001,0.251293996,502.9999994,0.130175983,3327.999998,0.861283643,196.9999958,0.050983436,7.999999948,0.002070393,11.00000042,0.002846791,35.99999956,0.00931677,284.0000023,0.073498965,394.0000014,0.101966874,49.48822079,0.033146832,363.7973989,0.24366872,480.6299456,0.124386632,231.9887771,0.060038503,108.0673957,0.027967753,72.74592753,0.018826586,443.5757693,0.114797042,4.649801456,0.001203365,2.999999965,0.000776398,0,0,5.000000037,0.001293996,24.40437497,0.006315832,56.95058697,0.014738765,0.089926305,6.0232e-05,46.24172094,0.030972352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2426,971,503,3328,197,8,11,36,284,394,59,356,86.128364389234,5.09834368530021,0.93167701863354,0.20703933747412,0.284679089026915,7.34989648033126,10.1966873706004,1.52691511387164,9.21325051759834,"Census Tract 9505, Appling County, Georgia",25.7,74.3,"Census Tract 9505, Appling County, Georgia",47.8,52.2,7,6.6,9.5,6.5,5.2,14.9,11.5,13.2,5.7,6.6,7.6,4.5,1.2,"Census Tract 9505, Appling County, Georgia",3967,2795,1172,70.4562641794807,29.5437358205193,"Census Tract 9505, Appling County, Georgia",453,219,10,224,0,48.3443708609272,2.2075055187638,49.4481236203091,0
"6",13003960100,"Georgia","Atkinson",0,2077,770,0,0,0,1,1,0,0,0,1,32.3,44464,1,1,0,0,0,1,0,0,1798.202361,1798.202361,0,964.1008976,964.1008976,0,2077.000012,1.000000006,1113.74578,0.536228108,599.0000005,0.288396726,246.0000015,0.118440058,1195.000002,0.575349062,548.0000013,0.263842081,4.000000024,0.001925855,2.999999926,0.001444391,18.00000029,0.008666346,309.0000009,0.148772268,387.0000006,0.186326433,68.43104938,0.088871493,245.676797,0.319060775,2077.000012,1.000000006,1113.74578,0.536228108,599.0000005,0.288396726,246.0000015,0.118440058,1195.000002,0.575349062,548.0000013,0.263842081,4.000000024,0.001925855,2.999999926,0.001444391,18.00000029,0.008666346,309.0000009,0.148772268,387.0000006,0.186326433,68.43104938,0.088871493,245.676797,0.319060775,1798.202361,0.865769071,964.1008976,0.464179537,528.8985864,0.254645444,224.4927511,0.108085099,961.4840646,0.462919627,522.6756792,0.25164934,4.000000024,0.001925855,2.999999926,0.001444391,16.30294677,0.007849276,290.7396636,0.13998058,365.739663,0.176090353,59.7904034,0.077649875,214.0460051,0.277981825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1223,599,246,1195,548,4,3,18,309,387,63,231,57.5349061145883,26.3842079922966,0.866634569090034,0.192585459797785,0.144439094848339,14.8772267693789,18.6326432354357,3.03322099181512,11.1218103033221,"Census Tract 9601, Atkinson County, Georgia",32.5,67.5,"Census Tract 9601, Atkinson County, Georgia",52,48,10.2,5.9,7.9,5.9,7.3,14.7,10.4,14.4,5.3,5,6.6,6.1,0.4,"Census Tract 9601, Atkinson County, Georgia",2085,1546,539,74.1486810551559,25.8513189448441,"Census Tract 9601, Atkinson County, Georgia",261,78,22,141,20,29.8850574712644,8.42911877394636,54.0229885057471,7.66283524904215
"7",13003960200,"Georgia","Atkinson",0,5053,1763,0,20,0.003958,0,0,0,1,1,1,28.7,34391,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3933.519348,0.778452275,2560.020984,0.506633878,1152.233876,0.228029661,373.7235901,0.073960734,2598.926456,0.514333358,414.2853925,0.081988006,9.875459445,0.001954376,12.36608463,0.002447276,15.00000004,0.002968534,883.0659579,0.174760728,1128.685955,0.223369475,151.2777655,0.085807014,348.5021058,0.197675613,2966.193164,0.58701626,1891.705112,0.374372672,862.042399,0.170600119,293.5568005,0.058095547,2195.719436,0.434537787,193.7775649,0.038349013,6.010279134,0.001189448,3.000000258,0.000593707,10.38532724,0.002055279,557.3005526,0.110291026,662.2139748,0.131053627,102.9112105,0.05837278,264.4206217,0.149983336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2958,1503,505,3015,864,16,21,16,1121,1437,175,401,59.6675242430239,17.0987532159113,0.316643578072432,0.316643578072432,0.415594696220067,22.1848406886998,28.4385513556303,3.46328913516723,7.93587967544033,"Census Tract 9602, Atkinson County, Georgia",29.8,70.2,"Census Tract 9602, Atkinson County, Georgia",48.7,51.3,8.9,7.2,9.4,8.4,4,13.3,15.5,12.5,6.5,4.5,6.7,2.5,0.5,"Census Tract 9602, Atkinson County, Georgia",4865,3433,1432,70.5652620760534,29.4347379239466,"Census Tract 9602, Atkinson County, Georgia",526,225,15,245,41,42.7756653992395,2.85171102661597,46.5779467680608,7.79467680608365
"8",13003960300,"Georgia","Atkinson",0,1245,450,0,0,0,0,0,0,0,0,1,30,47917,0,0,0,0,0,0,0,0,121.3966547,121.3966547,0,63.26562817,63.26562817,0,1244.999987,0.99999999,648.8292979,0.52114803,327.999996,0.263453812,138.9999994,0.111646586,1002.999995,0.805622486,40.99999965,0.032931727,2.999999928,0.002409638,0,0,13.00000021,0.010441767,184.9999918,0.148594371,214.9999921,0.172690757,20.1176469,0.044705882,119.647058,0.265882351,1244.999987,0.99999999,648.8292979,0.52114803,327.999996,0.263453812,138.9999994,0.111646586,1002.999995,0.805622486,40.99999965,0.032931727,2.999999928,0.002409638,0,0,13.00000021,0.010441767,184.9999918,0.148594371,214.9999921,0.172690757,20.1176469,0.044705882,119.647058,0.265882351,121.3966547,0.097507353,63.26562817,0.050815766,24.73472771,0.019867251,17.99844267,0.01445658,105.022741,0.084355615,8.999999913,0.007228916,0,0,0,0,0,0,7.373915454,0.005922824,10.10524513,0.008116663,2.423681356,0.005385959,14.41452603,0.03203228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690,328,139,1003,41,3,0,13,185,215,19,113,80.5622489959839,3.29317269076305,1.04417670682731,0.240963855421687,0,14.859437751004,17.2690763052209,1.52610441767068,9.07630522088353,"Census Tract 9603, Atkinson County, Georgia",29.8,70.2,"Census Tract 9603, Atkinson County, Georgia",47.4,52.6,5,5.5,8.3,9.2,3.8,12.3,12.9,16.9,5.7,7.6,7.3,4.8,0.5,"Census Tract 9603, Atkinson County, Georgia",1307,1168,139,89.3649579188982,10.6350420811018,"Census Tract 9603, Atkinson County, Georgia",124,35,3,82,4,28.2258064516129,2.41935483870968,66.1290322580645,3.2258064516129
"9",13005970100,"Georgia","Bacon",0,3057,1167,0,0,0,0,0,0,0,0,0,17,70119,0,0,0,0,0,0,0,0,292.5306201,292.5306201,0,102.7978446,102.7978446,0,3056.999989,0.999999996,1184.218275,0.38737922,754.9999988,0.246974157,348.0000007,0.113837095,2718.999997,0.889434085,173,0.05659143,4.999999938,0.00163559,5.000000053,0.00163559,7.999999677,0.002616945,146.9999982,0.048086359,210.9999978,0.069021916,51.29686539,0.043956183,107.0917666,0.091766724,3056.999989,0.999999996,1184.218275,0.38737922,754.9999988,0.246974157,348.0000007,0.113837095,2718.999997,0.889434085,173,0.05659143,4.999999938,0.00163559,5.000000053,0.00163559,7.999999677,0.002616945,146.9999982,0.048086359,210.9999978,0.069021916,51.29686539,0.043956183,107.0917666,0.091766724,292.5306201,0.095692058,102.7978446,0.033627035,72.08089655,0.023578965,40.78981757,0.013343087,274.3534905,0.08974599,6.057048325,0.00198137,0.141951059,4.64348e-05,0,0,0,0,11.97813065,0.003918263,15.80093132,0.00516877,6.110700529,0.005236247,10.85912706,0.009305165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1251,755,348,2719,173,5,5,8,147,211,51,107,88.943408570494,5.65914295060517,0.261694471704285,0.163559044815178,0.163559044815178,4.80863591756624,6.90219169120052,1.66830225711482,3.50016355904482,"Census Tract 9701, Bacon County, Georgia",20.7,79.3,"Census Tract 9701, Bacon County, Georgia",50.6,49.4,6.5,6.1,7.5,5.2,7.9,10.3,13.7,15.8,6.6,6.6,10.4,2.3,1,"Census Tract 9701, Bacon County, Georgia",3088,2400,688,77.720207253886,22.279792746114,"Census Tract 9701, Bacon County, Georgia",308,182,35,73,18,59.0909090909091,11.3636363636364,23.7012987012987,5.84415584415584
"10",13005970201,"Georgia","Bacon",0,4233,1606,0,135,0.0318923,0,0,0,1,1,1,23,52639,0,0,0,0,0,0,0,1,80.18389112,80.18389112,0,33.16449391,33.16449391,0,4232.999999,1,1876.032713,0.443192231,1141.000001,0.269548784,630.9999952,0.149066855,3055.999991,0.721946608,914.0000034,0.215922514,23.99999974,0.005669738,4.999999971,0.001181195,8.999999994,0.002126152,224.999999,0.053153791,246.9999953,0.05835105,145.7867266,0.090776293,280.1300797,0.174427198,3416.686873,0.807154943,1358.791253,0.320999587,936.2510995,0.221179093,457.3886998,0.108053083,2730.37082,0.645020274,450.6127439,0.106452337,16.01500247,0.003783369,0.999999971,0.000236239,7.999999949,0.001889913,210.6882938,0.049772807,237.2868621,0.056056429,82.45569627,0.051342277,228.2442803,0.142119726,80.18389112,0.018942568,33.16449391,0.007834749,25.22506928,0.005959147,11.69074305,0.00276181,78.80450293,0.018616703,0.046053225,1.08796e-05,0.287281743,6.78672e-05,0,0,0,0,1.046053221,0.000247119,1.187411465,0.000280513,1.543618465,0.000961157,5.554508053,0.003458598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1606,1141,631,3056,914,24,5,9,225,247,126,236,72.1946609969289,21.5922513583747,0.212615166548547,0.566973777462792,0.118119536971415,5.31537916371368,5.8351051263879,2.97661233167966,5.57524214505079,"Census Tract 9702.01, Bacon County, Georgia",21.3,78.7,"Census Tract 9702.01, Bacon County, Georgia",47.5,52.5,9.4,6.2,6.7,7.9,6.4,12.8,9.9,10.7,8,6.6,6.7,5.5,3.3,"Census Tract 9702.01, Bacon County, Georgia",3867,2339,1528,60.4861649857771,39.5138350142229,"Census Tract 9702.01, Bacon County, Georgia",514,148,27,300,39,28.7937743190661,5.25291828793774,58.3657587548638,7.5875486381323
