Title,City,Country_code,Marker_icon,Workplace_type,Experience_level,Published_at,Remote_interview,Remote,Company_size_from,Company_size_to,salary_from_permanent,salary_to_permanent,salary_currency_permanent,skills_name_0,skills_value_0,skills_name_1,skills_value_1,skills_name_2,skills_value_2
.NET Backend Developer,Warszawa,PL,net,remote,senior,2022-10-03T14:00:09.898Z,1,1,10,20,20000,25000,pln,Microsoft SQL Server,4,C#,4,.Net Framework,4
.NET Developer,Warszawa,PL,net,remote,senior,2022-09-28T11:00:12.729Z,1,1,10,20,18000,27000,pln,JavaScript,4,C#,4,.Net,4
.NET Developer,Warszawa,PL,net,remote,senior,2022-09-28T13:00:09.644Z,1,1,10,20,20000,25000,pln,.NET Core,4,.Net Framework,4,ASP.NET MVC,4
.Net Developer,Warszawa,PL,net,partly_remote,mid,2022-10-25T13:00:00.000Z,1,0,11,50,12000,18000,pln,Microservices,3,.NET C#,3,.Net,3
.NET Developer,Warszawa,PL,net,remote,senior,2022-11-14T13:00:09.581Z,0,1,100,150,20000,28000,pln,C#,4,MVC,4,.Net,4
.Net Software Developer,Warszawa,PL,net,remote,mid,2022-11-11T13:00:10.168Z,1,1,51,100,11000,16000,pln,ASP.NET MVC 5.0,3,C# .NET 4.6+,3,Microsoft .Net MVC (WEB),3
.NET/C# Developer,Sopot,PL,net,partly_remote,mid,2022-10-01T07:00:14.737Z,1,0,10,20,10000,20000,pln,JavaScript,1,WPF,4,C#,4
(Junior) IT Support,Warszawa,PL,support,partly_remote,junior,2022-10-03T09:00:12.388Z,1,0,20,50,6000,7000,pln,Windows,3,iOS,3,Active Directory,3
(Mid / Senior) Backend Developer w AWS,Berlin,DE,javascript,remote,senior,2022-08-09T11:25:00.000Z,1,1,10,23,18709.2,23386.5,eur,ECS,4,EC2,4,Node.js,4
Administrator Linux,Warszawa,PL,admin,partly_remote,mid,2022-10-01T12:00:14.826Z,1,0,30,50,11000,14000,pln,Bash/Python,3,Apache/NGINX,3,Debian/RedHat,4
Administrator Sieci Telekomunikacyjnych,Warszawa,PL,admin,partly_remote,mid,2022-10-26T11:00:14.023Z,1,0,80,100,12000,15000,pln,Proxmox,3,MariaDB,3,Linux (Debian),3
Agile Coach,Warszawa,PL,pm,remote,senior,2022-10-24T14:00:10.347Z,1,1,50,100,16000,20000,pln,Kanban,4,Scrum,4,Agile,4
Agile Project Manager,Warszawa,PL,pm,partly_remote,senior,2022-10-25T15:57:41.365Z,1,0,50,100,11500,14000,pln,JIRA,4,Agile,5,Scrum,5
Agile Project Manager (They/She/He),Warszawa,PL,pm,remote,mid,2022-10-25T15:42:00.000Z,1,1,60,80,12300,16500,pln,Gherkin,4,Scrum,4,SDLC,4
Analityk Biznesowo-Systemowy,Olsztyn,PL,analytics,office,mid,2022-10-01T14:00:09.999Z,1,0,50,100,8000,12000,pln,Business Analysis,3,Product Management,3,Analityczne Myślenie,4
Analityk Biznesowy,Warszawa,PL,analytics,partly_remote,mid,2022-10-01T10:00:10.853Z,1,0,200,280,9500,14000,pln,BI,1,BPMN,3,UML,3
Analityk Systemowy,Warszawa,PL,analytics,remote,mid,2022-10-26T08:01:00.000Z,1,1,30,50,13000,16000,pln,UML,3,BPMN,3,język polski,4
Analityk Systemowy (Hurtownia Danych),Warszawa,PL,analytics,partly_remote,mid,2022-10-01T10:00:10.853Z,1,0,200,280,9500,14000,pln,ETL,3,SQL,3,UML,3
